experiment,model,MSE,MAE,MAPE,R2,maxAE,samels/second,#parameter
DRP,2l_std,0.0076161317689263305,0.0625326856970787,57.76445770263672,0.8975341320037842,0.3586418628692627,119.11247668089098,100686786
DRP,4l_std,0.008991635809450046,0.07482145726680756,63.4110107421875,0.820494532585144,0.4240525960922241,72.72378645157158,201352258
DRP,8l_std,0.008852107612335163,0.05891670286655426,32.2236442565918,0.8142733573913574,0.544026255607605,41.10938234584121,402683202
DRP,12l_std,0.01069635841185632,0.06026262789964676,20.13007926940918,0.7321025133132935,0.5938405990600586,28.524604398606698,604014146
DRP,2l_ff_std,0.00593,0.0427,28.8496,0.9153,0.3980,90.8146,TODO
DRP,2l_ff_std,0.0059302911648283834,0.0527593195438385,28.35434913635254,0.8704432249069214,0.4674581289291382,89.88014079535095,100701634
DRP,4l_ff_std,0.0048,0.0425,28.5032,0.9141,0.3923,53.4021,TODO
DRP,4l_ff_std,0.01082965415780959,0.06515643745660782,31.560697555541992,0.7413480281829834,0.619674563407898,52.549790657049314,201381954
DRP,6l_ff_std,0.007273491593482701,0.052676744759082794,22.170034408569336,0.8446031808853149,0.5293864607810974,37.16145651063029,302062274
DRP,8l_ff_std,0.009039093456838442,0.0535602793097496,30.06502342224121,0.801257848739624,0.6268408298492432,28.694631580122174,402742594
DRP,8l_ff_std,0.0053610088222700615,0.04950375109910965,32.126495361328125,0.8901888728141785,0.39492934942245483,28.711950276477214,402742594
DRP,12l_ff_std,0.009633421978872755,0.061200711876153946,20.85738182067871,0.7611311674118042,0.54124915599823,19.759513934975537,604103234
DRP,2l_factorized_std,0.01767446457043938,0.09612850844860077,37.3411750793457,0.6488763689994812,0.559615433216095,57.278907907537935,267714
DRP,4l_factorized_std,0.013683625456431637,0.07637936621904373,21.016328811645508,0.6012909412384033,0.7877845168113708,31.242048572874587,514114
DRP,8l_factorized_std,0.010905067233935646,0.07332705706357956,20.844385147094727,0.6920773983001709,0.6157609224319458,16.333606265623867,1006914
DRP,UNet_std,0.005277682561427355,0.05223854258656502,13.182868003845215,0.8618998527526855,0.42387664318084717,70.33475884663402,21768706
DRP,UNet_std,0.004454927984625101,0.049950528889894485,18.7372989654541,0.8905057907104492,0.34813523292541504,69.62000289344702,21768706
DRP,2l_filtered_90,0.003463459334203175,0.0462191067636013,32.19282150268555,0.8996410965919495,0.18764719367027283,118.63633442307861,100686786
DRP,4l_filtered_90,0.004301434848457575,0.05823041871190071,35.854496002197266,0.8238701820373535,0.27754858136177063,72.34797527641784,201352258
DRP,8l_filtered_90,0.0018246603264872516,0.04656418412923813,32.24869918823242,0.9143487811088562,0.14724239706993103,40.85938149734186,402683202
DRP,2l_ff_filtered_90,0.002177704466573362,0.040791966021060944,18.53105354309082,0.8819138407707214,0.28494659066200256,89.58899221664888,100701634
DRP,4l_ff_filtered_90,0.001257419103889593,0.040391355752944946,26.97748565673828,0.9368574619293213,0.14742210507392883,52.449555683938804,201381954
DRP,8l_ff_filtered_90,0.0016881010960787535,0.04230960085988045,25.74237823486328,0.9170082807540894,0.17580446600914001,28.69251356832595,402742594
DRP,12l_ff_filtered_90,0.006821336690336466,0.057414207607507706,48.46061325073242,0.7286372184753418,0.46302929520606995,19.743153245730294,604103234
DRP,2l_factorized_filtered_90,0.0080381663782256,0.07559030503034592,49.49510192871094,0.6989619135856628,0.3483595848083496,57.00309745415911,267714
DRP,4l_factorized_filtered_90,0.0023502162990293334,0.04458276554942131,22.251262664794922,0.9010279774665833,0.17413565516471863,31.04366613484461,514114
DRP,8l_factorized_filtered_90,0.002278675192168781,0.038073938339948654,20.730804443359375,0.866712212562561,0.3290206491947174,16.249578300100943,1006914
DRP,12l_factorized_filtered_90,0.0017629655610237802,0.03836701810359955,21.40912628173828,0.9031878113746643,0.24583706259727478,11.010841098358846,1499714
DRP,12l_filtered_90,0.0018248270332281078,0.042170386761426926,35.71640396118164,0.9156247973442078,0.19900694489479065,28.395406821618234,604014146
DRP,UNet_filtered_90,0.0021801237016916275,0.03620869666337967,15.47103214263916,0.8685839176177979,0.33065152168273926,69.8565416299579,21768706
